,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58061.50565399999,-19.989,0.988,-37,36,o,0,0.89,130.67346,13.9678,8480.32,3771.6,3.19,2.89,-81.4,-0.446,18.28,18.83,01a58061o0674o
1,58061.510238,-19.798,0.762,-44,33,o,0,1.26,130.67346,13.9678,8466.35,3727.28,3.22,2.94,-82.5,-0.44,18.28,18.88,01a58061o0680o
2,58061.512554999994,-19.902,0.812,-40,32,o,0,1.43,130.67346,13.9678,8524.92,3801.85,3.19,2.9,-80.0,-0.445,18.31,18.9,01a58061o0685o
3,58061.515424,-20.102,1.073,-33,36,o,0,0.92,130.67346,13.9678,8545.89,3681.8,3.23,2.97,-78.9,-0.435,18.32,18.92,01a58061o0691o
4,58063.602152,-20.177,0.605,-31,19,o,0,1.53,130.67346,13.9678,4606.85,5634.25,2.22,1.96,-40.9,-0.445,19.0,19.52,02a58063o0790o
5,58063.612236,-19.793,0.39399999999999996,-44,17,o,0,1.76,130.67346,13.9678,4615.75,5674.35,2.49,2.35,-30.8,-0.447,18.82,19.55,02a58063o0807o
6,58063.622311,-18.965,0.16899999999999998,-94,16,o,0,1.96,130.67346,13.9678,4560.32,5600.64,2.27,2.13,-33.3,-0.46399999999999997,18.97,19.57,02a58063o0824o
7,58063.631621,-19.645,0.335,-50,17,o,0,2.05,130.67346,13.9678,4540.82,5719.21,2.41,2.32,-36.9,-0.462,18.79,19.59,02a58063o0841o
8,58065.596249,-18.379,0.455,-162,74,o,0,0.89,130.67346,13.9678,6532.25,2353.23,3.2,3.19,15.3,-0.429,17.51,17.96,01a58065o0821o
9,58065.60819199999,18.086,0.638,212,135,o,0,0.65,130.67346,13.9678,6595.0,2389.68,3.07,3.01,-15.1,-0.44,17.6,18.04,01a58065o0837o
10,58065.616864999996,-18.863,1.4509999999999998,-103,150,o,0,1.16,130.67346,13.9678,6618.78,2244.1,3.24,3.13,8.3,-0.434,16.83,17.34,01a58065o0854o
11,58071.62626699999,-21.676,0.9570000000000001,-8,7,c,0,1.82,130.67346,13.9678,5244.03,5374.66,2.37,2.29,52.1,-0.439,19.75,21.36,02a58071o0732c
12,58071.636112,-22.708000000000002,2.536,-3,8,c,0,1.52,130.67346,13.9678,5262.63,5415.26,2.31,2.24,53.5,-0.44299999999999995,19.77,21.37,02a58071o0750c
13,58071.645091,-20.199,0.28,-30,8,c,0,1.51,130.67346,13.9678,5206.22,5340.09,2.39,2.33,43.9,-0.44799999999999995,19.67,21.19,02a58071o0767c
14,58071.654419000006,-22.205,3.295,-5,16,c,0,2.18,130.67346,13.9678,5186.52,5458.2,2.32,2.26,38.0,-0.456,18.99,19.88,02a58071o0785c
15,58073.59787899999,-19.742,0.257,-46,12,o,0,1.57,130.67346,13.9678,6903.62,4072.57,3.51,2.85,-84.2,-0.423,19.3,21.02,01a58073o0835o
16,58073.608589999996,-19.579,0.213,-54,11,o,0,1.27,130.67346,13.9678,6890.04,3995.74,3.44,2.8,-83.1,-0.429,19.32,21.02,01a58073o0853o
17,58073.619105,-19.959,0.278,-38,10,o,0,1.32,130.67346,13.9678,6951.13,4033.59,3.43,2.73,-83.3,-0.431,19.36,21.04,01a58073o0870o
18,58073.62957999999,-19.355999999999998,0.185,-66,12,o,0,1.28,130.67346,13.9678,6974.28,3877.69,3.44,2.69,-84.1,-0.439,19.35,21.02,01a58073o0888o
19,58075.620402,-20.704,0.44,-19,8,c,0,1.79,130.67346,13.9678,5218.12,6424.77,2.38,2.28,39.8,-0.45,19.66,21.37,02a58075o0779c
20,58075.632648,-21.346999999999998,0.841,-10,9,c,0,1.49,130.67346,13.9678,5240.67,3965.31,2.47,2.39,75.1,-0.415,19.61,21.3,02a58075o0797c
21,58075.644276,-21.031999999999996,0.581,-14,8,c,0,1.92,130.67346,13.9678,5295.81,4045.51,2.41,2.34,73.6,-0.43,19.65,21.25,02a58075o0814c
22,58077.593563999995,-19.958,0.368,-38,14,o,0,1.0,130.67346,13.9678,7292.38,2769.6,3.31,3.11,-75.3,-0.41600000000000004,19.31,21.04,01a58077o0816o
23,58077.603278999995,-20.159000000000002,0.40299999999999997,-31,13,o,0,1.0,130.67346,13.9678,7278.76,2694.94,3.26,3.01,-79.6,-0.419,19.36,21.09,01a58077o0834o
24,58077.612649,-19.48,0.209,-59,12,o,0,1.27,130.67346,13.9678,7358.21,2736.16,3.33,3.32,-25.2,-0.408,19.31,21.15,01a58077o0851o
25,58077.623055,-19.396,0.19899999999999998,-63,13,o,0,1.29,130.67346,13.9678,7380.98,2579.97,3.67,3.26,-3.3,-0.418,19.25,21.15,01a58077o0869o
26,58079.619622000006,-21.815,0.847,-7,6,c,0,2.81,130.67346,13.9678,4944.41,2532.35,2.49,2.35,58.3,-0.408,19.82,21.57,02a58079o0813c
27,58079.628939,22.471999999999998,1.8130000000000002,4,7,c,0,2.4,130.67346,13.9678,4924.18,2493.9,2.51,2.33,54.8,-0.413,19.79,21.57,02a58079o0831c
28,58079.638012,-20.596,0.305,-21,6,c,0,1.87,130.67346,13.9678,4978.53,2571.03,2.5,2.39,47.1,-0.414,19.81,21.55,02a58079o0848c
29,58081.583176,-20.142,0.379,-32,12,o,0,1.42,130.67346,13.9678,8706.76,3310.98,3.47,2.97,-79.8,-0.42,19.39,21.15,01a58081o0819o
30,58081.593031,-19.102999999999998,0.14800000000000002,-83,12,o,0,1.14,130.67346,13.9678,8692.73,3234.88,3.35,2.87,-79.9,-0.431,19.42,21.15,01a58081o0836o
31,58081.60245499999,-21.506,1.429,-9,13,o,0,1.26,130.67346,13.9678,8754.05,3277.37,3.41,2.96,-86.7,-0.423,19.39,21.18,01a58081o0853o
