,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57997.560888,-20.502,0.449,-23,10,o,0,1.07,52.47993,-18.29431,9229.23,1400.68,2.3,2.12,42.1,-0.47,19.56,20.62,02a57997o0595o
1,57997.569091,-20.153,0.40399999999999997,-32,13,o,0,0.78,52.47993,-18.29431,9245.28,1442.76,2.31,2.16,58.2,-0.45,19.56,20.63,02a57997o0612o
2,57997.577319,-20.218,0.406,-30,12,o,0,1.07,52.47993,-18.29431,9188.31,1365.41,2.28,2.1,66.7,-0.45,19.58,20.65,02a57997o0629o
3,57997.585037,24.092,13.625,1,11,o,0,0.86,52.47993,-18.29431,9166.88,1484.85,2.22,2.05,69.0,-0.451,19.61,20.63,02a57997o0645o
4,57999.577124,-19.355999999999998,0.24600000000000002,-66,16,o,0,1.49,52.47993,-18.29431,755.01,9605.64,3.39,2.98,-80.8,-0.433,19.08,20.76,01a57999o0678o
5,57999.585632,-19.337,0.214,-67,14,o,0,1.6,52.47993,-18.29431,734.0,9535.89,3.39,3.34,-42.4,-0.42200000000000004,19.19,21.09,01a57999o0695o
6,57999.594138,-20.875999999999998,0.775,-16,13,o,0,1.15,52.47993,-18.29431,787.21,9583.92,3.31,2.74,-85.2,-0.445,19.37,21.28,01a57999o0712o
7,57999.602649,-20.984,1.5430000000000001,-15,23,o,0,1.19,52.47993,-18.29431,805.48,9434.47,3.16,2.64,-86.6,-0.461,18.8,20.51,01a57999o0729o
8,58001.533691,20.939,1.561,15,24,o,0,0.9,52.47993,-18.29431,9311.0,811.1,2.77,2.11,52.7,-0.436,18.81,19.26,02a58001o0617o
9,58001.542117,21.898000000000003,2.688,6,17,o,0,1.67,52.47993,-18.29431,9328.4,852.9,2.75,2.09,51.2,-0.446,18.81,19.29,02a58001o0635o
10,58001.54494299999,22.074,7.196000000000001,5,39,o,0,1.42,52.47993,-18.29431,2452.65,10496.28,2.54,1.98,33.8,-0.462,18.91,19.37,02a58001o0641o
11,58001.551036000004,22.592,6.7860000000000005,3,23,o,0,1.26,52.47993,-18.29431,9271.93,776.01,2.59,2.0,51.3,-0.462,18.86,19.31,02a58001o0654o
12,58001.559387,-19.29,0.311,-70,22,o,0,1.01,52.47993,-18.29431,9251.53,895.16,2.66,2.09,50.8,-0.441,18.87,19.37,02a58001o0672o
13,58001.562203999994,-22.529,8.633,-4,30,o,0,1.17,52.47993,-18.29431,2413.0,10460.66,2.54,2.0,35.6,-0.449,18.91,19.45,02a58001o0678o
14,58002.467934,19.590999999999998,0.835,53,44,o,0,1.28,52.47993,-18.29431,9226.7,3317.15,2.32,2.09,50.8,-0.46799999999999997,18.12,18.34,02a58002o0457o
15,58002.475297000005,-20.322,1.859,-27,50,o,0,0.75,52.47993,-18.29431,9244.75,3357.26,2.33,2.07,56.1,-0.451,18.22,18.42,02a58002o0472o
16,58002.482564,-21.129,2.898,-13,37,o,0,0.93,52.47993,-18.29431,9189.46,3280.19,2.24,1.98,52.8,-0.47700000000000004,18.3,18.47,02a58002o0487o
17,58002.489292,-23.67,32.091,-1,40,o,0,0.94,52.47993,-18.29431,9170.2,3397.68,2.25,2.07,57.0,-0.467,18.31,18.55,02a58002o0501o
18,58007.566746000004,-19.278,0.36,-71,25,o,0,1.43,52.47993,-18.29431,9482.42,8798.34,3.67,2.8,-87.3,-0.405,18.75,19.8,01a58007o0738o
19,58007.575457000006,-19.908,0.5770000000000001,-40,23,o,0,1.21,52.47993,-18.29431,9458.53,8728.27,3.68,3.04,-86.4,-0.39399999999999996,18.74,19.9,01a58007o0757o
20,58007.576832000006,21.061,1.6,14,22,o,0,1.09,52.47993,-18.29431,9515.12,8800.54,3.61,2.73,-87.8,-0.408,18.88,19.91,01a58007o0760o
21,58007.589210000006,-19.264,0.40299999999999997,-72,29,o,0,1.1,52.47993,-18.29431,9528.24,8636.92,4.4,3.74,-3.1,-0.336,18.58,19.9,01a58007o0787o
22,58011.549616,-20.206,0.49,-30,15,o,0,0.99,52.47993,-18.29431,9114.48,9020.18,3.4,2.62,-84.2,-0.426,19.31,20.75,01a58011o0704o
23,58011.558797000005,-19.683,0.311,-49,15,o,0,0.9,52.47993,-18.29431,9097.48,8980.77,3.33,2.6,-84.8,-0.42700000000000005,19.33,20.75,01a58011o0724o
24,58011.566633,-19.645,0.332,-50,17,o,0,0.81,52.47993,-18.29431,9171.93,9057.5,3.29,2.67,-84.7,-0.428,19.32,20.73,01a58011o0741o
25,58011.574436,-19.579,0.257,-54,14,o,0,1.05,52.47993,-18.29431,9187.49,8940.1,3.3,2.61,-85.7,-0.43,19.31,20.73,01a58011o0758o
26,58013.5614,-21.305,0.602,-11,7,c,0,1.21,52.47993,-18.29431,1156.19,2809.66,2.41,2.36,37.5,-0.42,19.81,21.65,02a58013o0749c
27,58013.570999,-22.237,1.5,-5,7,c,0,1.83,52.47993,-18.29431,1119.0,2773.18,2.42,2.33,45.0,-0.415,19.82,21.65,02a58013o0770c
28,58013.571911,-20.959,0.47700000000000004,-15,7,c,0,0.91,52.47993,-18.29431,1174.69,2850.5,2.42,2.34,43.5,-0.414,19.79,21.66,02a58013o0772c
29,58013.576471,-20.983,0.585,-15,9,c,0,0.94,52.47993,-18.29431,1097.78,2890.15,2.46,2.37,45.0,-0.414,19.79,21.68,02a58013o0782c
30,58017.564857000005,-21.133000000000003,1.187,-13,15,c,0,1.37,52.47993,-18.29431,10511.6,1583.84,3.16,2.55,61.5,-0.42,19.74,21.52,02a58017o0619c
31,58017.5716,-21.818,1.354,-7,9,c,0,1.24,52.47993,-18.29431,758.91,1606.97,2.72,2.37,55.7,-0.47,19.75,21.52,02a58017o0633c
32,58017.580902999995,22.511,3.2960000000000003,4,12,c,0,0.79,52.47993,-18.29431,9677.92,8790.77,2.49,2.41,-27.5,-0.45399999999999996,19.73,21.51,02a58017o0653c
33,58017.583762,-21.072,0.71,-14,10,c,0,0.94,52.47993,-18.29431,721.57,1571.1,2.79,2.37,55.9,-0.474,19.76,21.53,02a58017o0658c
34,58017.595355,23.271,5.582999999999999,2,10,c,0,1.12,52.47993,-18.29431,695.42,1687.32,2.8,2.42,56.1,-0.473,19.74,21.58,02a58017o0682c
35,58019.54145599999,-19.699,0.32,-48,15,o,0,1.33,52.47993,-18.29431,9101.56,6956.61,3.99,3.76,-15.3,-0.379,19.12,20.98,01a58019o0584o
36,58019.552912,-20.242,0.5529999999999999,-29,16,o,0,1.22,52.47993,-18.29431,9082.45,6916.34,4.39,3.76,-4.5,-0.37200000000000005,19.12,20.98,01a58019o0609o
37,58019.555662,-19.675,0.336,-49,16,o,0,1.42,52.47993,-18.29431,9137.1,6992.6,4.52,3.82,-8.2,-0.368,19.05,21.01,01a58019o0615o
38,58019.56344600001,-20.468,0.647,-24,15,o,0,1.41,52.47993,-18.29431,9154.64,6875.97,3.86,3.35,-85.0,-0.401,19.17,20.94,01a58019o0632o
39,58021.556116,-20.758000000000003,0.536,-18,10,c,0,0.64,52.47993,-18.29431,2628.95,10089.25,2.66,2.21,7.4,-0.43,19.83,21.64,02a58021o0735c
40,58021.563464,-21.524,1.167,-9,10,c,0,0.98,52.47993,-18.29431,9454.18,360.4,2.65,2.48,58.5,-0.426,19.83,21.66,02a58021o0751c
41,58021.565316,-22.316,2.059,-4,9,c,0,0.91,52.47993,-18.29431,2611.37,10055.08,2.61,2.25,10.9,-0.42100000000000004,19.81,21.63,02a58021o0755c
42,58021.572201999996,-23.956,12.142999999999999,-1,12,c,0,0.89,52.47993,-18.29431,9437.52,323.66,2.68,2.46,62.1,-0.431,19.83,21.65,02a58021o0770c
43,58021.57404299999,-21.465999999999998,0.958,-9,9,c,0,0.89,52.47993,-18.29431,2667.95,10133.64,2.63,2.26,11.2,-0.42700000000000005,19.82,21.62,02a58021o0774c
44,58021.581938999996,26.101999999999997,65.0,0,8,c,0,1.6,52.47993,-18.29431,963.51,10040.25,2.61,2.26,38.2,-0.451,19.83,21.64,02a58021o0790c
45,58021.58672000001,21.427,0.871,10,8,c,0,1.08,52.47993,-18.29431,2689.47,10008.8,2.65,2.31,12.5,-0.462,19.79,21.61,02a58021o0800c
46,58021.591864,-20.15,0.294,-32,9,c,0,1.59,52.47993,-18.29431,9514.73,280.93,2.6,2.46,75.3,-0.436,19.83,21.63,02a58021o0810c
47,58023.512790999994,-20.012999999999998,0.39899999999999997,-36,14,o,0,1.0,52.47993,-18.29431,6722.72,723.58,3.32,2.91,83.7,-0.439,19.26,20.79,01a58023o0552o
48,58023.518315,-19.899,0.375,-40,15,o,0,1.81,52.47993,-18.29431,9687.84,10385.95,3.83,2.69,-85.7,-0.434,19.26,20.73,01a58023o0564o
