,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58110.66874,17.377,0.198,407,80,o,0,1.62,196.35003999999998,56.324180000000005,2451.7,8978.1,3.11,2.64,-68.0,-0.484,18.18,18.61,01a58110o1035o
1,58116.676288,17.369,0.099,410,41,o,0,1.36,196.35003999999998,56.324180000000005,8258.43,3545.67,2.2,2.03,71.4,-0.49,18.03,18.15,02a58116o1029o
2,58120.59247999999,17.732,0.08900000000000001,293,26,o,0,1.1,196.35003999999998,56.324180000000005,7904.99,1815.53,2.2,2.02,34.0,-0.48100000000000004,18.68,19.06,02a58120o0743o
3,58120.598065,17.569000000000003,0.069,341,24,o,0,1.78,196.35003999999998,56.324180000000005,7923.97,1856.21,2.37,2.08,39.6,-0.48100000000000004,18.72,19.1,02a58120o0755o
4,58120.607789999995,17.611,0.07,328,23,o,0,1.61,196.35003999999998,56.324180000000005,7873.63,1781.26,2.34,2.09,38.3,-0.469,18.75,19.12,02a58120o0776o
5,58120.617876,17.525,0.067,355,24,o,0,1.48,196.35003999999998,56.324180000000005,7846.77,1903.52,2.39,2.09,42.6,-0.462,18.73,19.14,02a58120o0798o
6,58122.648667999994,17.645,0.08,318,26,o,0,1.63,196.35003999999998,56.324180000000005,493.22,7446.32,3.33,2.87,-82.0,-0.396,18.69,19.79,01a58122o0968o
7,58122.658702999994,17.652,0.085,316,27,o,0,1.47,196.35003999999998,56.324180000000005,485.62,7370.72,3.26,2.82,-82.8,-0.4,18.71,19.76,01a58122o0987o
8,58122.667892,17.672,0.17,310,53,o,0,1.52,196.35003999999998,56.324180000000005,548.19,7409.58,3.37,3.0,-84.4,-0.442,18.29,19.09,01a58122o1006o
9,58122.668814,17.678,0.239,308,74,o,0,1.36,196.35003999999998,56.324180000000005,9738.09,7242.65,3.76,3.21,-83.6,-0.401,18.18,18.88,01a58122o1008o
10,58128.650838,17.849,0.045,263,12,o,0,2.8,196.35003999999998,56.324180000000005,7828.77,1838.01,2.69,2.34,44.4,-0.44799999999999995,19.63,21.3,02a58128o0917o
11,58128.660726,18.002,0.063,229,14,o,0,1.31,196.35003999999998,56.324180000000005,2632.25,8558.22,2.47,2.05,42.5,-0.495,19.65,21.14,02a58128o0936o
12,58128.670633,17.739,0.065,291,19,o,0,2.14,196.35003999999998,56.324180000000005,2691.26,8632.88,2.41,2.01,36.3,-0.483,19.28,20.09,02a58128o0955o
13,58128.680037,18.590999999999998,1.939,133,258,o,0,1.85,196.35003999999998,56.324180000000005,2699.46,8513.75,2.48,2.21,37.3,-0.409,17.23,17.28,02a58128o0974o
14,58132.671716,18.195999999999998,0.102,191,19,o,0,1.13,196.35003999999998,56.324180000000005,700.5,5985.73,2.35,1.95,43.5,-0.441,19.25,19.96,02a58132o1008o
15,58132.68139400001,17.415,0.282,393,111,o,0,1.13,196.35003999999998,56.324180000000005,676.01,5948.61,2.31,2.08,46.5,-0.325,17.08,17.0,02a58132o1029o
16,58134.640466,18.187,0.08900000000000001,193,17,o,0,1.49,196.35003999999998,56.324180000000005,8633.08,1115.28,3.67,2.9,-89.2,-0.435,19.37,21.22,01a58134o0960o
17,58134.650562,18.122,0.073,205,15,o,0,1.57,196.35003999999998,56.324180000000005,8642.64,1194.56,3.64,2.88,-88.9,-0.439,19.38,21.23,01a58134o0981o
18,58134.66139,18.233,0.08900000000000001,185,16,o,0,1.97,196.35003999999998,56.324180000000005,8580.53,1162.21,3.64,2.96,-89.9,-0.43200000000000005,19.3,20.98,01a58134o1002o
19,58134.67286599999,17.969,0.205,236,48,o,0,1.13,196.35003999999998,56.324180000000005,8574.93,1326.22,3.7,2.92,89.4,-0.426,18.01,18.48,01a58134o1023o
20,58138.630235000004,18.143,0.067,201,13,o,0,2.06,196.35003999999998,56.324180000000005,9673.82,908.88,4.03,2.85,-89.6,-0.446,19.54,21.84,01a58138o0933o
21,58138.640002,18.820999999999998,0.262,108,28,o,0,1.61,196.35003999999998,56.324180000000005,9679.86,984.68,4.0,2.88,-87.8,-0.441,18.79,20.92,01a58138o0954o
22,58138.64744,18.625,0.17600000000000002,129,23,o,0,1.61,196.35003999999998,56.324180000000005,394.0,1144.59,3.41,3.03,82.2,-0.439,18.67,20.88,01a58138o0969o
23,58138.650227,18.847,0.292,105,31,o,0,1.8,196.35003999999998,56.324180000000005,9623.29,950.42,4.08,3.0,-89.1,-0.43,18.48,20.64,01a58138o0975o
24,58138.65769199999,-17.184,0.11599999999999999,-486,56,o,0,3.5,196.35003999999998,56.324180000000005,9518.47,9032.82,5.16,3.5,-79.2,-0.342,18.43,20.5,01a58138o0990o
25,58138.660628,18.569000000000003,0.335,136,45,o,0,1.39,196.35003999999998,56.324180000000005,9613.58,1111.51,4.25,3.16,-88.6,-0.43200000000000005,18.43,20.49,01a58138o0996o
26,58138.668691,18.71,0.14800000000000002,119,18,o,0,1.86,196.35003999999998,56.324180000000005,350.92,1187.76,3.36,2.97,87.1,-0.434,19.14,20.62,01a58138o1011o
27,58138.679428999996,18.668,0.715,124,89,o,0,1.18,196.35003999999998,56.324180000000005,331.19,1348.19,3.51,2.97,84.9,-0.544,17.36,17.59,01a58138o1032o
28,58142.643891,17.445,0.833,382,318,o,0,1.01,196.35003999999998,56.324180000000005,9600.4,1808.63,4.17,2.98,89.7,-0.461,17.0,18.95,01a58142o0520o
