Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
18,57922.624863,19.289,0.664,70,46,o,0,1.37,329.71605,-14.86304,2179.93,643.87,3.37,3.05,23.6,-0.414,17.82,18.33,01a57922o0773o
32,57940.50129,18.59,0.11,133,15,o,0,1.39,329.71605,-14.86304,2956.26,1612.25,1.97,1.85,52.4,-0.483,19.15,19.71,02a57940o0465o
33,57940.51076799999,18.755,0.114,114,13,o,0,2.74,329.71605,-14.86304,2975.13,1651.45,1.98,1.83,48.1,-0.486,19.19,19.75,02a57940o0484o
34,57940.52018099999,19.206,0.214,76,16,o,0,1.45,329.71605,-14.86304,2917.97,1574.82,2.02,1.87,44.7,-0.481,19.14,19.79,02a57940o0503o
35,57940.52954500001,19.02,0.163,90,15,o,0,2.63,329.71605,-14.86304,2896.81,1692.2,2.04,1.89,43.5,-0.479,19.22,19.85,02a57940o0522o
36,57941.51579600001,19.382,0.424,64,27,o,0,1.02,329.71605,-14.86304,361.78,9987.62,2.58,2.18,36.5,-0.482,18.86,19.56,02a57941o0019o
37,57942.468109,18.643,0.307,127,39,o,0,1.38,329.71605,-14.86304,9316.31,8851.76,3.26,3.16,66.6,-0.442,18.46,19.2,01a57942o0434o
38,57942.476928,18.122,0.203,205,42,o,0,1.23,329.71605,-14.86304,9291.88,8785.95,3.45,3.38,60.6,-0.4270000000000001,18.44,19.25,01a57942o0451o
39,57942.48566000001,18.98,0.374,93,35,o,0,1.6,329.71605,-14.86304,9344.18,8837.08,3.19,3.05,57.0,-0.443,18.57,19.28,01a57942o0468o
40,57942.494482,19.415,0.5529999999999999,62,34,o,0,1.41,329.71605,-14.86304,9378.95,8691.39,3.14,3.02,74.2,-0.443,18.63,19.32,01a57942o0485o
41,57947.525899,18.127,0.153,204,31,o,0,1.02,329.71605,-14.86304,10491.59,9383.82,3.57,2.77,-89.2,-0.445,18.64,19.3,01a57947o0338o
42,57947.534242,18.897,0.344,100,34,o,0,1.5,329.71605,-14.86304,10517.81,9457.22,3.66,2.79,-85.7,-0.424,18.65,19.33,01a57947o0355o
43,57947.540612,18.59,0.233,133,31,o,0,0.94,329.71605,-14.86304,10462.87,9402.63,3.7,2.97,-86.5,-0.407,18.62,19.34,01a57947o0368o
44,57947.542066,18.289,0.227,176,40,o,0,1.12,329.71605,-14.86304,803.32,9529.13,3.37,2.81,-81.0,-0.474,18.35,19.09,01a57947o0371o
45,57947.54614299999,18.774,0.393,112,44,o,0,1.13,329.71605,-14.86304,9626.78,737.91,3.57,3.19,-76.3,-0.439,18.29,19.2,01a57947o0379o
46,57947.552017,18.349,0.175,166,29,o,0,1.24,329.71605,-14.86304,10455.37,9564.41,3.65,3.0,89.3,-0.419,18.64,19.37,01a57947o0389o
47,57947.556228,18.891,0.378,101,38,o,0,1.04,329.71605,-14.86304,775.87,9547.13,3.34,2.93,-79.8,-0.477,18.34,19.13,01a57947o0396o
48,57947.56612999999,18.736,0.281,116,33,o,0,1.54,329.71605,-14.86304,761.37,9705.42,3.49,3.15,-77.0,-0.466,18.3,19.15,01a57947o0413o
49,57948.534588,18.824,0.257,107,28,o,0,1.31,329.71605,-14.86304,6634.27,8726.3,2.15,2.06,10.7,-0.51,19.03,19.53,02a57948o0588o
50,57948.536539,18.456,0.184,150,28,o,0,1.16,329.71605,-14.86304,6615.53,8686.38,2.17,2.06,6.1,-0.507,19.05,19.53,02a57948o0592o
51,57948.547379,18.498,0.151,145,22,o,0,2.02,329.71605,-14.86304,6670.94,8763.55,2.19,2.09,14.7,-0.495,19.04,19.55,02a57948o0613o
52,57948.564332,18.718,0.23,118,27,o,0,1.34,329.71605,-14.86304,6690.83,8646.63,2.3,2.21,5.9,-0.4920000000000001,18.99,19.56,02a57948o0647o
53,57949.535471,18.582,0.191,134,26,o,0,6.23,329.71605,-14.86304,90.0,508.9,2.41,1.86,35.5,-0.654,19.17,19.89,02a57949o0589o
54,57949.544204,18.355,0.183,165,30,o,0,1.76,329.71605,-14.86304,71.12,471.78,2.19,1.76,34.5,-0.731,19.18,19.87,02a57949o0606o
55,57949.545813,18.593,0.147,133,20,o,0,1.11,329.71605,-14.86304,9793.6,531.49,2.52,2.21,47.7,-0.504,19.16,19.83,02a57949o0609o
56,57949.553053,18.923,0.231,98,23,o,0,1.37,329.71605,-14.86304,130.34,551.57,2.52,2.02,36.5,-0.578,19.15,19.9,02a57949o0623o
57,57949.554556,18.616,0.162,130,21,o,0,1.34,329.71605,-14.86304,9775.43,495.73,2.46,2.18,45.8,-0.505,19.16,19.83,02a57949o0626o
58,57949.56181,19.575,0.384,54,21,o,0,1.86,329.71605,-14.86304,150.56,432.99,2.22,1.7,32.4,-0.675,19.25,19.94,02a57949o0640o
59,57949.563376,18.851,0.185,105,19,o,0,1.37,329.71605,-14.86304,9832.42,574.1,2.32,2.09,55.2,-0.522,19.2,19.87,02a57949o0643o
60,57949.572109,18.328,0.109,169,18,o,0,1.81,329.71605,-14.86304,9854.85,455.5,2.22,2.1,51.3,-0.52,19.23,19.91,02a57949o0660o
61,57950.529913,19.51,0.329,57,19,o,0,0.94,329.71605,-14.86304,9486.14,9183.12,3.67,2.65,-86.7,-0.416,19.03,20.28,01a57950o0592o
62,57950.532336,18.903,0.17600000000000002,100,18,o,0,1.17,329.71605,-14.86304,9466.51,9135.08,3.68,2.66,-87.0,-0.414,19.2,20.56,01a57950o0597o
63,57950.54181900001,18.544,0.104,139,14,o,0,1.8,329.71605,-14.86304,945.62,1140.13,3.05,2.52,80.4,-0.502,19.29,20.62,01a57950o0616o
64,57950.543275,18.484,0.121,147,18,o,0,1.18,329.71605,-14.86304,929.65,1263.64,3.02,2.49,81.4,-0.506,19.27,20.61,01a57950o0619o
65,57953.54831000001,19.0,0.129,91,12,o,0,1.94,329.71605,-14.86304,7051.96,629.36,2.5,2.29,53.3,-0.466,19.49,20.83,02a57953o0246o
66,57953.558236,18.93,0.139,97,14,o,0,1.62,329.71605,-14.86304,7070.22,510.62,2.48,2.17,50.3,-0.468,19.44,20.67,02a57953o0264o
67,57955.529807000006,19.198,0.225,76,17,o,0,1.34,329.71605,-14.86304,2476.25,9543.75,4.01,3.87,-43.3,-0.378,19.02,20.97,01a57955o0584o
68,57955.538837,19.073,0.239,85,20,o,0,1.28,329.71605,-14.86304,2501.92,9619.03,4.73,4.45,-17.4,-0.363,18.87,20.98,01a57955o0602o
69,57955.54837899999,19.561,0.412,54,22,o,0,1.17,329.71605,-14.86304,2449.29,9581.02,5.22,4.93,81.5,-0.38,18.79,21.01,01a57955o0621o
70,57955.557349,19.177,0.184,78,14,o,0,1.85,329.71605,-14.86304,2435.21,9735.44,3.82,3.39,-77.9,-0.397,19.18,21.02,01a57955o0639o
72,57958.532718,19.068,0.171,86,15,o,0,1.62,329.71605,-14.86304,2043.26,155.65,3.53,2.82,83.3,-0.449,19.21,21.03,01a57958o0329o
73,57960.51300399999,19.207,0.13,75,10,o,0,3.04,329.71605,-14.86304,8572.62,9784.3,2.17,2.06,30.7,-0.476,19.61,20.82,02a57960o0539o
74,57960.522785,19.636,0.193,51,10,o,0,2.74,329.71605,-14.86304,8554.32,9744.28,2.19,2.07,36.6,-0.462,19.61,20.85,02a57960o0559o
75,57960.52395900001,18.902,0.122,100,12,o,0,1.66,329.71605,-14.86304,8611.87,9822.76,2.16,2.07,52.7,-0.468,19.63,20.85,02a57960o0561o
76,57960.540938,19.225,0.17,74,13,o,0,1.8,329.71605,-14.86304,8630.6,9701.86,2.11,1.99,22.4,-0.476,19.68,20.87,02a57960o0595o
77,57961.531195,19.063,0.11,86,10,o,0,2.35,329.71605,-14.86304,1051.71,2099.87,2.26,2.06,38.8,-0.484,19.66,21.14,02a57961o0524o
78,57961.541227,19.067,0.121,86,10,o,0,2.04,329.71605,-14.86304,1033.46,2059.32,2.27,2.07,45.9,-0.49,19.64,21.04,02a57961o0542o
79,57961.552028,18.976,0.114,93,11,o,0,2.2,329.71605,-14.86304,1093.49,2137.47,2.18,2.01,53.7,-0.488,19.64,21.04,02a57961o0561o
80,57961.562196000006,18.522,0.131,142,18,o,0,1.59,329.71605,-14.86304,1114.78,2019.64,2.22,2.04,50.3,-0.496,18.99,20.38,02a57961o0579o
81,57966.47241,19.27,0.175,71,12,o,0,1.52,329.71605,-14.86304,6667.75,8764.45,3.06,2.73,87.2,-0.441,19.32,20.87,01a57966o0458o
82,57966.491399,20.906,0.91,16,14,o,0,1.28,329.71605,-14.86304,6652.18,8656.16,3.19,2.96,-81.0,-0.417,19.23,20.85,01a57966o0496o
83,57966.501373,20.039,0.385,35,14,o,0,1.21,329.71605,-14.86304,3770.68,1608.07,3.03,2.96,48.7,-0.429,19.29,20.81,01a57966o0516o
84,57966.502829,19.744,0.267,46,12,o,0,1.46,329.71605,-14.86304,3753.79,1730.95,2.89,2.81,65.8,-0.45,19.32,20.81,01a57966o0519o
86,57968.456788,18.915,0.198,99,20,o,0,1.73,329.71605,-14.86304,3009.8,2065.44,1.86,1.83,-39.1,-0.459,19.13,19.85,02a57968o0433o
87,57968.474828,18.93,0.116,97,11,o,0,2.58,329.71605,-14.86304,2948.8,1988.39,1.91,1.89,-3.5,-0.442,19.39,20.16,02a57968o0470o
88,57968.48463300001,19.133,0.14400000000000002,81,12,o,0,2.42,329.71605,-14.86304,2928.31,2106.05,1.91,1.88,47.8,-0.445,19.32,20.18,02a57968o0490o
89,57969.494641,19.354,0.24,66,16,o,0,1.4,329.71605,-14.86304,306.7,1870.52,2.04,1.73,28.4,-0.5589999999999999,19.16,19.87,02a57969o0487o
