Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57989.444903,18.741,0.28800000000000003,116,33,c,0,21.04,327.08383,-34.952890000000004,1234.05,10504.38,2.67,2.22,8.2,-0.4320000000000001,19.58,21.22,02a57989o0428c
6,57989.44890800001,19.144,0.157,80,13,c,0,5.95,327.08383,-34.952890000000004,4912.36,829.59,2.69,2.45,66.8,-0.422,19.57,21.24,02a57989o0436c
16,57993.43942,20.459,0.823,24,20,o,0,7.49,327.08383,-34.952890000000004,3228.34,3477.76,2.12,1.87,42.4,-0.487,19.36,20.36,02a57993o0429o
17,57993.445129,19.863,0.456,41,19,o,0,16.54,327.08383,-34.952890000000004,3245.62,3361.39,2.21,1.95,44.1,-0.461,19.41,20.37,02a57993o0441o
24,58007.408165,19.877,0.597,41,24,o,0,2.9,327.08383,-34.952890000000004,8003.43,4921.75,3.64,3.04,-85.9,-0.4270000000000001,18.67,19.85,01a58007o0399o
28,58011.394386,15.475,0.006999999999999999,2344,16,o,0,1441.37,327.08383,-34.952890000000004,8058.62,4638.33,3.2,2.61,-81.2,-0.458,19.26,20.71,01a58011o0369o
31,58011.43910800001,20.726,0.866,19,16,o,0,11.87,327.08383,-34.952890000000004,891.38,9284.65,2.17,1.97,15.7,-0.466,19.4,20.5,02a58011o0431o
32,58011.449336,18.73,0.159,117,18,o,0,20.73,327.08383,-34.952890000000004,941.83,9362.33,2.21,2.05,10.1,-0.478,19.35,20.47,02a58011o0453o
33,58011.459498,19.261,0.269,72,19,o,0,11.16,327.08383,-34.952890000000004,977.3,9244.46,2.12,1.93,9.1,-0.485,19.2,20.36,02a58011o0475o
34,58013.383042,20.448,0.518,24,12,c,0,7.05,327.08383,-34.952890000000004,2671.45,4413.53,2.65,2.56,61.5,-0.401,19.59,21.27,02a58013o0364c
39,58015.387516,18.963,0.2,94,19,o,0,11.3,327.08383,-34.952890000000004,6604.06,6717.65,4.04,3.39,-83.0,-0.396,18.87,20.66,01a58015o0363o
42,58017.378234,20.677,0.737,20,14,c,0,10.14,327.08383,-34.952890000000004,3052.27,5617.41,2.54,2.32,39.2,-0.456,19.57,21.26,02a58017o0216c
43,58017.38654,20.704,0.615,19,12,c,0,9.84,327.08383,-34.952890000000004,3038.34,5579.03,2.55,2.36,36.9,-0.441,19.5,21.22,02a58017o0234c
